SYS,SID,RAW.SCR,Z.SCR1,N,Z.SCR
DCU-adapt,1174,100,0.572418027378335,1,0.680215771653824
DCU-adapt,1235,99.5,0.555797294876061,2,0.677352079781163
DCU-adapt,951,100,0.572418027378335,1,0.680215771653824
DCU-adapt,1114,75,-0.258618597735392,1,0.537031178020748
DCU-adapt,143,99,0.539176562373786,1,0.674488387908501
DCU-adapt,891,99,0.539176562373786,1,0.674488387908501
DCU-adapt,1487,24,-1.9539333129674,1,0.24493460700927
DCU-adapt,957,100,0.572418027378335,1,0.680215771653824
DCU-adapt,87,50,-1.08965522284912,1,0.39384658438767
DCU-adapt,1249,99,0.539176562373786,1,0.674488387908501
DCU-adapt,475,24,-0.982382010405441,1,0.41232936946271
DCU-adapt,1502,75,0.297283971681745,1,0.632811172663804
DCU-adapt,920,2,-1.53439478699207,1,0.317219572003414
DCU-adapt,379,13.5,-1.24584265377633,2,0.366936057038955
DCU-adapt,551,1,-1.55948627683692,1,0.312896399391628
DCU-adapt,721,1,-1.55948627683692,1,0.312896399391628
DCU-adapt,628,0,-1.58457776668176,1,0.308573226779843
DCU-adapt,349,23,-1.00747350025029,1,0.408006196850923
DCU-adapt,146,25,-0.957290520560594,1,0.416652542074496
DCU-adapt,1090,100,0.924571217802914,1,0.740890487958457
DCU-adapt,297,98,0.87438823811322,1,0.732244142734885
DCU-adapt,1585,25,-0.957290520560594,1,0.416652542074496
DCU-adapt,653,25,-0.957290520560594,1,0.416652542074496
DCU-adapt,175,8,-1.38384584792299,1,0.343158607674131
DCU-adapt,21,80,0.2337131171487,1,0.621858145206108
DCU-adapt,1341,68.5,-0.217243400839564,2,0.544159974243425
DCU-adapt,1612,16,-2.27595793948164,1,0.189450932892049
DCU-adapt,406,82,0.312140337668398,1,0.635370870590922
DCU-adapt,464,81,0.272926727408549,2,0.628614507898515
DCU-adapt,654,90,0.62584921974719,1,0.689421772130179
DCU-adapt,507,87,0.508208388967643,1,0.669152684052958
DCU-adapt,444,81,0.272926727408549,1,0.628614507898515
DCU-adapt,206,87,0.508208388967643,1,0.669152684052958
DCU-adapt,734,91,0.665062830007039,1,0.696178134822586
DCU-adapt,783,60,-0.55055908804828,1,0.486730891357965
DCU-adapt,724,90,0.62584921974719,1,0.689421772130179
DCU-adapt,686,81,0.272926727408549,1,0.628614507898515
DCU-adapt,1430,82,0.312140337668398,1,0.635370870590922
DCU-adapt,433,86,0.468994778707794,1,0.662396321360551
DCU-adapt,813,88,0.547421999227492,1,0.675909046745365
